"","AG","AF","B2","GF","JF","MBF","PB","WE","WA"
"1",0,0.066,0,0,0,0.0703,0,0,0
"2",0.0053,0.1264,0.0053,0.0048,0.0075,0.1367,0.0086,0.0075,0.0078
"3",2e-04,0.2351,2e-04,1e-04,4e-04,0.2698,6e-04,4e-04,4e-04
"4",0,0.0341,0,0,0,0.0379,0,0,0
"5",0,0.1916,0,0,0,0.2205,0,0,0
"6",0,0.1311,0,0,0,0.187,1e-04,0,0
"7",0,0.0329,0,0,0,0.0352,0,0,0
"8",1e-04,0.4051,1e-04,0,2e-04,0.4087,3e-04,2e-04,2e-04
"9",0,0.0827,0,0,0,0.1226,0,0,0
"10",0,0.1219,0,0,0,0.1269,0,0,0
"11",0.0053,0.5672,0.0053,0.005,0.0074,0.6051,0.0075,0.0074,0.0077
"12",0,0.2021,0,0,1e-04,0.2079,1e-04,1e-04,1e-04
"13",0,0.1771,0,0,0,0.1826,0,0,0
"14",0,0.3201,0,0,0,0.3479,0,0,0
"15",1e-04,0.4297,1e-04,1e-04,2e-04,0.434,4e-04,2e-04,2e-04
"16",0,0.0527,0,0,0,0.0579,0,0,0
"17",0.0013,0.1521,0.0013,0.0013,0.0022,0.1709,0.0026,0.0022,0.0023
"18",0,0.236,0,0,0,0.2405,0,0,0
"19",0,0.0595,0,0,0,0.0645,0,0,0
"20",0,0.0332,0,0,0,0.039,0,0,0
"21",1e-04,0.5684,1e-04,1e-04,1e-04,0.5705,2e-04,1e-04,1e-04
"22",0,0.1915,0,0,0,0.2348,0,0,0
"23",0,0.2565,0,0,0,0.2748,0,0,0
"24",0,0.0053,0,0,0,0.0119,0,0,0
"25",0,0.0083,0,0,0,0.0111,0,0,0
"26",0,0.0488,0,0,0,0.0687,0,0,0
"27",0,0.1977,0,0,0,0.2102,0,0,0
"28",0,0.1179,0,0,1e-04,0.1498,2e-04,1e-04,1e-04
"29",0,0.043,0,0,0,0.0573,0,0,0
"30",2e-04,0.1149,2e-04,2e-04,4e-04,0.1186,5e-04,4e-04,5e-04
"31",0,0.4072,0,0,0,0.41,0,0,0
"32",0,0.4555,0,0,0,0.4568,1e-04,0,1e-04
"33",0,0.3013,0,0,0,0.3216,0,0,0
"34",0,0.0514,0,0,0,0.0594,0,0,0
"35",0,0.3691,0,0,1e-04,0.3908,1e-04,1e-04,1e-04
"36",0,0.1817,0,0,0,0.2258,0,0,0
"37",0,0.0546,0,0,0,0.072,0,0,0
"38",8e-04,0.4435,8e-04,9e-04,0.0013,0.4533,0.0018,0.0013,0.0013
"39",0.0253,0.7415,0.0253,0.0232,0.0263,0.7477,0.0266,0.0263,0.0271
"40",0.0051,0.5586,0.0051,0.0046,0.0074,0.5607,0.0084,0.0074,0.0078
"41",0,0.3037,0,0,0,0.307,1e-04,0,0
"42",0,0.4596,0,0,0,0.4632,0,0,0
"43",0,0.0382,0,0,0,0.0503,0,0,0
"44",0.0202,0.3492,0.0202,0.019,0.0263,0.4312,0.0268,0.0263,0.0271
"45",0,0.1749,0,0,1e-04,0.2004,1e-04,1e-04,1e-04
"46",0,0.0076,0,0,0,0.0165,0,0,0
"47",0.0012,0.0903,0.0012,0.0014,0.0021,0.1001,0.0024,0.0021,0.0022
"48",1e-04,0.1733,1e-04,1e-04,2e-04,0.2043,3e-04,2e-04,2e-04
"49",0,0.081,0,0,0,0.11,0,0,0
"50",2e-04,0.2789,2e-04,2e-04,5e-04,0.3213,7e-04,5e-04,5e-04
"51",0,0.1804,0,0,0,0.2167,0,0,0
"52",0,0.0112,0,0,0,0.0156,0,0,0
"53",0,0.3334,0,0,0,0.3375,0,0,0
"54",0,0.2742,0,0,0,0.2823,0,0,0
"55",0.0012,0.5301,0.0012,0.0011,0.0017,0.5406,0.0021,0.0017,0.0018
"56",0,0.0409,0,0,0,0.0464,0,0,0
"57",0.0988,0.7277,0.0988,0.0952,0.1082,0.7431,0.1101,0.1082,0.1105
"58",0,0.1727,0,0,0,0.2022,0,0,0
"59",0,0.3051,0,0,0,0.3127,0,0,0
"60",0,0.0494,0,0,1e-04,0.0563,1e-04,1e-04,1e-04
"61",0,0.1909,0,0,1e-04,0.2138,1e-04,1e-04,1e-04
"62",0.0349,0.3206,0.0349,0.031,0.0398,0.3432,0.0415,0.0398,0.041
"63",0,0.0663,0,0,0,0.0842,0,0,0
"64",0,0.1446,0,0,0,0.1686,1e-04,0,0
"65",0,0.0769,0,0,0,0.0792,0,0,0
"66",4e-04,0.3083,4e-04,3e-04,6e-04,0.326,7e-04,6e-04,6e-04
"67",0,0.0441,0,0,0,0.0498,1e-04,0,0
"68",0,0.069,0,0,0,0.1017,0,0,0
"69",8e-04,0.2407,8e-04,7e-04,0.0012,0.2581,0.0013,0.0012,0.0012
"70",0,0.0297,0,0,0,0.043,0,0,0
"71",0.0539,0.1631,0.0539,0.0504,0.0619,0.1749,0.0625,0.0619,0.0635
"72",0,0.158,0,0,0,0.1723,0,0,0
"73",0,0.3235,0,0,0,0.3506,0,0,0
"74",0,0.2144,0,0,0,0.2223,0,0,0
"75",0,0.0029,0,0,0,0.0038,0,0,0
"76",0,0.2522,0,0,0,0.2575,1e-04,0,0
"77",0,0.2027,0,0,0,0.208,0,0,0
"78",0.0155,0.4494,0.0155,0.0146,0.02,0.48,0.0205,0.02,0.0207
"79",1e-04,0.1838,1e-04,0,2e-04,0.1867,4e-04,2e-04,2e-04
"80",0,0.0051,0,0,0,0.0063,0,0,0
"81",1e-04,0.2384,1e-04,1e-04,3e-04,0.2666,5e-04,3e-04,3e-04
"82",0,0.0846,0,0,0,0.0941,0,0,0
"83",0,2e-04,0,0,0,4e-04,0,0,0
"84",0,0.0224,0,0,0,0.0317,0,0,0
"85",0.0077,0.3148,0.0077,0.0076,0.0107,0.3727,0.0111,0.0107,0.0111
"86",0,0,0,0,0,1e-04,0,0,0
"87",0,0.0397,0,0,0,0.0461,0,0,0
"88",0,0.0218,0,0,0,0.0262,0,0,0
"89",0.0622,0.1699,0.0621,0.0585,0.0701,0.2104,0.0696,0.0701,0.0719
"90",0,0.0661,0,0,0,0.0714,0,0,0
"91",0,0.0734,0,0,0,0.0816,0,0,0
"92",1e-04,0.1154,1e-04,0,2e-04,0.14,3e-04,2e-04,2e-04
"93",8e-04,0.2768,8e-04,7e-04,0.0014,0.2831,0.0019,0.0014,0.0014
"94",0,0.2182,0,0,0,0.2378,0,0,0
"95",0.0095,0.4609,0.0095,0.0088,0.0131,0.5185,0.0136,0.0131,0.0136
"96",0,0.1998,0,0,0,0.2048,0,0,0
"97",1e-04,0.4752,1e-04,1e-04,3e-04,0.4776,4e-04,3e-04,3e-04
"98",0,0.0171,0,0,0,0.0307,0,0,0
"99",1e-04,0.3315,1e-04,0,2e-04,0.3516,3e-04,2e-04,2e-04
"100",1e-04,0.474,1e-04,0,1e-04,0.4791,2e-04,1e-04,1e-04
"101",6e-04,0.5048,6e-04,6e-04,0.001,0.5086,0.0011,0.001,0.001
"102",0,0.1763,0,0,0,0.2129,1e-04,0,0
"103",4e-04,0.224,4e-04,4e-04,9e-04,0.2434,0.0012,9e-04,9e-04
"104",5e-04,0.1802,5e-04,4e-04,9e-04,0.1842,0.0012,9e-04,0.001
"105",0,0.3169,0,0,0,0.3207,0,0,0
"106",0,0.1024,0,0,0,0.1188,0,0,0
"107",0,0.2845,0,0,1e-04,0.2881,1e-04,1e-04,1e-04
"108",0,0.4315,0,0,0,0.4345,0,0,0
"109",1e-04,0.0129,1e-04,1e-04,2e-04,0.0144,2e-04,2e-04,2e-04
"110",0,0.1662,0,0,0,0.1772,0,0,0
"111",0,0.1655,0,0,0,0.2105,0,0,0
"112",2e-04,0.4171,2e-04,1e-04,5e-04,0.4203,5e-04,5e-04,5e-04
"113",0,0.4084,0,0,0,0.4105,0,0,0
"114",0,0.0613,0,0,0,0.0913,0,0,0
"115",1e-04,0.0345,1e-04,1e-04,1e-04,0.0646,3e-04,1e-04,1e-04
"116",8e-04,0.5503,8e-04,5e-04,0.0013,0.5541,0.0015,0.0013,0.0014
"117",0,0.1151,0,0,0,0.1294,0,0,0
"118",0.0016,0.6211,0.0016,0.0014,0.0024,0.625,0.0031,0.0024,0.0026
"119",0,4e-04,0,0,0,0.0012,0,0,0
"120",0,0.0035,0,0,0,0.0092,0,0,0
"121",0,0.0059,0,0,0,0.0068,0,0,0
"122",1e-04,0.0134,1e-04,0,1e-04,0.0158,1e-04,1e-04,1e-04
"123",1e-04,0.2848,1e-04,0,1e-04,0.3451,2e-04,1e-04,1e-04
"124",0,0.003,0,0,0,0.0078,0,0,0
"125",0,0.3115,0,0,0,0.3218,0,0,0
"126",0,0.3188,0,0,1e-04,0.3248,0,1e-04,1e-04
"127",0,0.1248,0,0,0,0.1496,1e-04,0,0
"128",0,0.4294,0,0,0,0.4504,1e-04,0,0
"129",2e-04,0.5677,2e-04,2e-04,3e-04,0.5717,4e-04,3e-04,4e-04
"130",0.0074,0.4945,0.0074,0.0077,0.0108,0.5008,0.0112,0.0108,0.0112
"131",0,0.1272,0,0,0,0.1323,0,0,0
"132",0.043,0.6149,0.043,0.0398,0.0522,0.6455,0.052,0.0522,0.0536
"133",0,0.1452,0,0,0,0.1714,0,0,0
"134",0,0.3382,0,0,0,0.3417,0,0,0
"135",0,0.5231,0,0,0,0.5249,1e-04,0,0
"136",0,0.1246,0,0,0,0.1699,0,0,0
"137",0,0.2498,0,0,0,0.2764,0,0,0
"138",0,0.4422,0,0,1e-04,0.4503,1e-04,1e-04,1e-04
"139",0,0.1935,0,0,0,0.1976,0,0,0
"140",0,0.1746,0,0,0,0.1836,0,0,0
"141",0,0.0758,0,1e-04,1e-04,0.0891,1e-04,1e-04,1e-04
"142",0,0.4771,0,0,0,0.4833,0,0,0
"143",0,0.0109,0,0,0,0.0153,0,0,0
"144",0,0.3841,0,0,0,0.4201,0,0,0
"145",0.0016,0.3244,0.0016,0.0013,0.0027,0.3325,0.0028,0.0027,0.0028
"146",0,0.0266,0,0,0,0.0371,0,0,0
"147",0,0.0138,0,1e-04,1e-04,0.034,1e-04,1e-04,1e-04
"148",0,0.0185,0,0,0,0.0235,0,0,0
"149",0,0.237,0,0,1e-04,0.2458,1e-04,1e-04,1e-04
"150",0,0.0207,0,0,0,0.0226,0,0,0
"151",0,0.1804,0,0,0,0.1847,0,0,0
"152",3e-04,0.642,3e-04,3e-04,7e-04,0.6477,0.001,7e-04,8e-04
"153",0,0.0532,0,0,0,0.0679,0,0,0
"154",0,0.0177,0,0,0,0.0245,0,0,0
"155",0.004,0.4879,0.004,0.0033,0.0056,0.5066,0.0061,0.0056,0.0058
"156",2e-04,0.0496,2e-04,2e-04,4e-04,0.0873,6e-04,4e-04,4e-04
"157",0,0.0487,0,0,0,0.0594,0,0,0
"158",7e-04,0.2354,7e-04,5e-04,0.0012,0.2728,0.0013,0.0012,0.0012
"159",0.0038,0.4915,0.0038,0.0035,0.0049,0.5215,0.0053,0.0049,0.0051
"160",0,0.0489,0,0,0,0.0528,0,0,0
"161",0,0.1919,0,0,0,0.2047,0,0,0
"162",0,0.0911,0,0,0,0.0961,0,0,0
"163",0.006,0.1094,0.006,0.0055,0.0084,0.121,0.0094,0.0084,0.0087
"164",0,0.0021,0,0,0,0.0065,0,0,0
"165",0,0.1893,0,0,0,0.1952,0,0,0
"166",2e-04,0.5911,2e-04,2e-04,4e-04,0.5966,5e-04,4e-04,4e-04
"167",0,0.0517,0,0,0,0.0554,0,0,0
"168",0,0.0512,0,0,0,0.066,0,0,0
"169",0,0.0086,0,0,0,0.0171,0,0,0
"170",0,0.0101,0,0,0,0.0125,1e-04,0,0
"171",0,0.3615,0,0,1e-04,0.3705,1e-04,1e-04,1e-04
"172",0,0.1101,0,0,0,0.1193,0,0,0
"173",0,0.1492,0,0,0,0.1766,0,0,0
"174",0,0.2127,0,0,0,0.2354,0,0,0
"175",0,0.0168,0,0,0,0.0244,0,0,0
"176",0,0.0883,0,0,1e-04,0.1258,2e-04,1e-04,1e-04
"177",7e-04,0.405,7e-04,4e-04,0.0013,0.4075,0.0016,0.0013,0.0013
"178",0,0.1736,0,0,0,0.1931,0,0,0
"179",0,0.0636,0,0,0,0.0907,0,0,0
"180",0,0.0989,0,0,1e-04,0.106,2e-04,1e-04,1e-04
"181",0,0.0137,0,0,0,0.0284,1e-04,0,1e-04
"182",0,0.1266,0,0,0,0.1789,0,0,0
"183",0,0.0091,0,0,0,0.015,0,0,0
"184",0,0.2169,0,0,0,0.2214,0,0,0
"185",0,0.2203,0,0,0,0.2629,0,0,0
"186",9e-04,0.1457,9e-04,7e-04,0.0012,0.1846,0.0013,0.0012,0.0013
"187",0,0.0754,0,0,0,0.085,0,0,0
"188",0,0.0833,0,0,0,0.1013,1e-04,0,0
"189",1e-04,0.0834,1e-04,1e-04,1e-04,0.0957,1e-04,1e-04,2e-04
"190",1e-04,0.0185,1e-04,0,3e-04,0.0206,3e-04,3e-04,3e-04
"191",0,0.0542,0,0,0,0.0868,1e-04,0,0
"192",1e-04,0.2594,1e-04,0,1e-04,0.2841,2e-04,1e-04,2e-04
"193",0,0.1059,0,0,0,0.1249,0,0,0
"194",0,0.118,0,0,0,0.1336,0,0,0
"195",0,0.1563,0,0,0,0.1793,0,0,0
"196",4e-04,0.3104,4e-04,3e-04,7e-04,0.366,9e-04,7e-04,8e-04
"197",0,0.0231,0,0,0,0.04,0,0,0
"198",0,0.5252,0,0,1e-04,0.5439,1e-04,1e-04,1e-04
"199",2e-04,0.4989,2e-04,1e-04,3e-04,0.5073,5e-04,3e-04,4e-04
"200",0,0.067,0,0,0,0.1133,0,0,0
"201",3e-04,0.0354,3e-04,3e-04,6e-04,0.0483,7e-04,6e-04,6e-04
"202",0,0.1675,0,0,0,0.2066,0,0,0
"203",0,0.0302,0,0,0,0.0332,0,0,0
"204",5e-04,0.6692,5e-04,4e-04,7e-04,0.673,0.0012,7e-04,8e-04
"205",0.0048,0.1331,0.0048,0.0043,0.0069,0.1696,0.0074,0.0069,0.0072
"206",3e-04,0.3286,3e-04,2e-04,6e-04,0.341,7e-04,6e-04,6e-04
"207",0,0.1832,0,0,0,0.1868,0,0,0
"208",0,0.414,0,0,1e-04,0.4371,1e-04,1e-04,1e-04
"209",1e-04,0.0283,1e-04,1e-04,2e-04,0.05,3e-04,2e-04,2e-04
"210",8e-04,0.1723,8e-04,6e-04,0.0013,0.179,0.0016,0.0013,0.0014
"211",0,0.0527,0,0,0,0.0644,0,0,0
"212",0,0.183,0,0,0,0.1893,0,0,0
"213",1e-04,0.1267,1e-04,0,1e-04,0.1311,2e-04,1e-04,2e-04
"214",0,0.0267,0,0,0,0.0367,0,0,0
"215",0,0.0339,0,0,0,0.0415,0,0,0
"216",0,0.0741,0,0,1e-04,0.106,1e-04,1e-04,1e-04
"217",0,0.0943,0,0,0,0.1139,0,0,0
"218",0,0.0065,0,0,0,0.0137,0,0,0
"219",3e-04,0.1049,3e-04,3e-04,5e-04,0.1393,6e-04,5e-04,5e-04
"220",2e-04,0.4822,2e-04,2e-04,4e-04,0.4887,6e-04,4e-04,4e-04
"221",0,0.1946,0,1e-04,1e-04,0.2364,1e-04,1e-04,1e-04
"222",0,0.0996,0,0,0,0.104,0,0,0
"223",2e-04,0.5475,2e-04,2e-04,3e-04,0.5534,5e-04,3e-04,4e-04
"224",0,0.2462,0,0,1e-04,0.2625,1e-04,1e-04,1e-04
"225",0.0282,0.4665,0.0282,0.0268,0.0341,0.4692,0.0347,0.0341,0.0351
"226",0,0.0539,0,0,0,0.0916,0,0,0
"227",0,0.0533,0,1e-04,1e-04,0.0654,2e-04,1e-04,1e-04
"228",0,0.0598,0,0,0,0.0633,0,0,0
"229",0,0.367,0,1e-04,1e-04,0.3963,2e-04,1e-04,1e-04
"230",9e-04,0.1852,9e-04,6e-04,0.0013,0.2117,0.0016,0.0013,0.0014
"231",0,0.012,0,0,1e-04,0.0205,1e-04,1e-04,1e-04
"232",0,0.0191,0,0,0,0.0303,1e-04,0,0
"233",0,0.0473,0,0,0,0.0788,0,0,0
"234",0,0.2406,0,0,0,0.2552,0,0,0
"235",0,0.0256,0,0,0,0.0375,0,0,0
"236",0,0.05,0,0,0,0.0854,0,0,0
"237",0.0111,0.1933,0.0111,0.0096,0.0136,0.2069,0.0147,0.0136,0.0141
"238",0,0.0573,0,0,0,0.07,0,0,0
"239",0,0.2667,0,0,0,0.3036,0,0,0
"240",0,0.0294,0,0,0,0.0331,0,0,0
"241",1e-04,0.3584,1e-04,0,1e-04,0.3614,1e-04,1e-04,1e-04
"242",0,0.2447,0,0,0,0.2527,0,0,0
"243",0,0.0108,0,0,0,0.0248,0,0,0
"244",2e-04,0.4318,2e-04,1e-04,4e-04,0.4834,4e-04,4e-04,4e-04
"245",0.0017,0.5709,0.0017,0.0015,0.0029,0.5976,0.003,0.0029,0.003
"246",0,0.0669,0,0,0,0.0727,0,0,0
"247",1e-04,0.344,1e-04,0,2e-04,0.3733,4e-04,2e-04,2e-04
"248",0,0.0243,0,0,0,0.0267,0,0,0
"249",0,0.4413,0,0,1e-04,0.457,2e-04,1e-04,1e-04
"250",2e-04,0.3806,2e-04,1e-04,4e-04,0.3912,5e-04,4e-04,4e-04
"251",0,0.0414,0,0,0,0.0589,0,0,0
"252",0,0.0259,0,0,1e-04,0.0433,2e-04,1e-04,1e-04
"253",2e-04,0.6043,2e-04,2e-04,3e-04,0.6086,4e-04,3e-04,4e-04
"254",0,0.2654,0,0,0,0.2945,0,0,0
"255",0.0785,0.5013,0.0785,0.0742,0.0907,0.5466,0.0921,0.0907,0.0928
"256",6e-04,0.3731,6e-04,5e-04,9e-04,0.3827,9e-04,9e-04,0.001
"257",1e-04,0.5694,1e-04,1e-04,2e-04,0.5746,2e-04,2e-04,2e-04
"258",0.0017,0.1364,0.0017,0.0015,0.0027,0.1686,0.0028,0.0027,0.0028
"259",0,0.3472,0,0,0,0.3513,0,0,0
"260",0,0.2001,0,0,1e-04,0.2286,1e-04,1e-04,1e-04
"261",6e-04,0.2372,6e-04,6e-04,0.0012,0.2528,0.0013,0.0012,0.0012
"262",0,0.0327,0,0,0,0.0364,0,0,0
"263",1e-04,0.2224,1e-04,1e-04,3e-04,0.2923,5e-04,3e-04,3e-04
"264",0,0.1097,0,0,0,0.1396,0,0,0
"265",0,0.1901,0,0,0,0.1964,0,0,0
"266",2e-04,0.0451,2e-04,2e-04,3e-04,0.0813,5e-04,3e-04,3e-04
"267",0,0.1599,0,0,0,0.1661,0,0,0
"268",3e-04,0.3698,3e-04,3e-04,7e-04,0.4032,0.001,7e-04,7e-04
"269",0.0022,0.4851,0.0022,0.0017,0.003,0.4865,0.0032,0.003,0.0032
"270",0,0.2409,0,0,0,0.2531,0,0,0
"271",0.0124,0.7834,0.0124,0.0114,0.0159,0.7834,0.0165,0.0159,0.0165
"272",0.0056,0.4782,0.0056,0.0048,0.0076,0.5066,0.0087,0.0076,0.0079
"273",3e-04,0.2218,3e-04,3e-04,5e-04,0.2726,7e-04,5e-04,6e-04
"274",0,0.5628,0,0,0,0.5844,0,0,0
"275",0,0.2508,0,0,0,0.2595,0,0,0
"276",0,0.2805,0,0,0,0.292,0,0,0
"277",0,0.1274,0,0,0,0.1763,0,0,0
"278",0,0.1053,0,0,0,0.1147,1e-04,0,0
"279",0,0.016,0,0,0,0.0295,0,0,0
"280",1e-04,0.489,1e-04,1e-04,3e-04,0.5087,3e-04,3e-04,3e-04
"281",0,0.0287,0,0,0,0.043,0,0,0
"282",0,0.067,0,0,0,0.0793,0,0,0
"283",0,0.1063,0,0,0,0.1131,0,0,0
"284",0,0.4946,0,0,0,0.4992,0,0,0
"285",0,0.3807,0,0,0,0.3877,0,0,0
"286",2e-04,0.616,2e-04,2e-04,3e-04,0.6244,3e-04,3e-04,3e-04
"287",0,0.402,0,0,0,0.4177,1e-04,0,0
"288",0,0.1058,0,0,0,0.1248,0,0,0
"289",0,0.2295,0,0,0,0.2319,0,0,0
"290",0,0.2492,0,0,0,0.2559,0,0,0
"291",5e-04,0.6064,5e-04,4e-04,9e-04,0.6086,0.001,9e-04,9e-04
"292",0,0.4181,0,0,1e-04,0.425,1e-04,1e-04,1e-04
"293",0,0.0316,0,0,0,0.034,0,0,0
"294",0,0.1078,0,0,0,0.1446,0,0,0
"295",7e-04,0.0997,7e-04,6e-04,0.0012,0.1263,0.0014,0.0012,0.0013
"296",0.001,0.5465,0.001,0.0011,0.0016,0.5759,0.0018,0.0016,0.0016
"297",1e-04,0.4618,1e-04,0,2e-04,0.4695,3e-04,2e-04,2e-04
"298",0,0.1229,0,0,0,0.1254,0,0,0
"299",0,0.0843,0,0,0,0.0882,0,0,0
"300",2e-04,0.1073,2e-04,2e-04,5e-04,0.1222,5e-04,5e-04,5e-04
"301",0,0.0668,0,0,0,0.0856,0,0,0
"302",0.0029,0.3912,0.0029,0.0028,0.0046,0.4126,0.0054,0.0046,0.0049
"303",0,0.0975,0,0,0,0.1314,1e-04,0,0
"304",0.0011,0.6671,0.0011,0.001,0.0016,0.6692,0.0019,0.0016,0.0017
"305",0,0.0671,0,0,0,0.0829,0,0,0
"306",0,0.302,0,0,0,0.3172,0,0,0
"307",0,0.073,0,0,0,0.0786,0,0,0
"308",0,0.0258,0,0,0,0.0468,0,0,0
"309",6e-04,0.4678,6e-04,4e-04,8e-04,0.4885,9e-04,8e-04,9e-04
"310",0,0.0017,0,0,0,0.0061,0,0,0
"311",0,0.1078,0,0,1e-04,0.1618,1e-04,1e-04,1e-04
"312",0.0019,0.6204,0.002,0.0016,0.0029,0.622,0.0033,0.0029,0.003
"313",0,0.3442,0,0,1e-04,0.3649,1e-04,1e-04,1e-04
"314",0,0.0133,0,0,0,0.0227,0,0,0
"315",1e-04,0.1248,1e-04,1e-04,2e-04,0.1668,3e-04,2e-04,2e-04
"316",0,0.067,0,0,0,0.074,0,0,0
"317",0,0.5869,0,0,0,0.5973,0,0,0
"318",0,0.1475,0,0,0,0.1886,1e-04,0,1e-04
"319",0,0.0069,0,0,0,0.0091,0,0,0
"320",0,0.2685,0,0,0,0.2747,0,0,0
"321",7e-04,0.0834,7e-04,6e-04,0.0012,0.1309,0.0014,0.0012,0.0013
"322",0.0071,0.1837,0.0071,0.0066,0.0098,0.2149,0.0105,0.0098,0.0102
"323",0.0038,0.499,0.0038,0.0036,0.0055,0.5197,0.006,0.0055,0.0057
"324",0,0.1658,0,0,1e-04,0.1756,1e-04,1e-04,1e-04
"325",0,0.466,0,0,1e-04,0.475,1e-04,1e-04,1e-04
"326",0,0.4116,0,0,1e-04,0.4142,1e-04,1e-04,1e-04
"327",0,0.207,0,0,0,0.2394,0,0,0
"328",0,0.1475,0,0,0,0.1502,0,0,0
"329",0,0.0679,0,0,0,0.0708,0,0,0
"330",3e-04,0.0756,3e-04,2e-04,5e-04,0.1225,5e-04,5e-04,6e-04
"331",0,0.0372,0,0,0,0.0454,0,0,0
"332",0.0024,0.4254,0.0024,0.0024,0.0036,0.4294,0.0042,0.0036,0.0038
"333",2e-04,0.1009,2e-04,3e-04,3e-04,0.1051,5e-04,3e-04,3e-04
"334",0,0.1328,0,0,0,0.1432,0,0,0
"335",1e-04,0.0426,1e-04,1e-04,2e-04,0.0472,3e-04,2e-04,2e-04
"336",0.0013,0.2605,0.0013,0.0012,0.002,0.2833,0.0024,0.002,0.0021
"337",0,0.0234,0,0,0,0.026,0,0,0
"338",0,0.2447,0,0,0,0.29,0,0,0
"339",0,0.2647,0,0,0,0.269,0,0,0
"340",0,0.0932,0,0,0,0.1342,0,0,0
"341",0.0056,0.5263,0.0056,0.005,0.008,0.5641,0.0085,0.008,0.0083
"342",5e-04,0.5534,5e-04,4e-04,9e-04,0.5641,0.0013,9e-04,0.001
"343",3e-04,0.1796,3e-04,3e-04,4e-04,0.1835,4e-04,4e-04,5e-04
"344",1e-04,0.1105,1e-04,1e-04,2e-04,0.1354,3e-04,2e-04,2e-04
"345",0,0.0247,0,0,1e-04,0.027,2e-04,1e-04,1e-04
"346",0.0018,0.1601,0.0018,0.0015,0.0027,0.2029,0.0029,0.0027,0.0029
"347",4e-04,0.1407,4e-04,4e-04,9e-04,0.179,0.0011,9e-04,0.001
"348",0,0.3259,0,0,0,0.3344,0,0,0
"349",0.0012,0.2419,0.0012,0.0012,0.0022,0.2491,0.0027,0.0022,0.0023
"350",0,0.3148,0,0,0,0.3428,0,0,0
"351",0,0.0451,0,0,0,0.0563,0,0,0
"352",9e-04,0.5104,9e-04,9e-04,0.0016,0.5425,0.0018,0.0016,0.0017
"353",0,0.3077,0,0,0,0.3124,0,0,0
"354",0,0.0152,0,0,0,0.0263,0,0,0
"355",0,0.0633,0,0,0,0.0661,0,0,0
"356",0,0.0397,0,0,0,0.0425,0,0,0
"357",0,0.2587,0,0,0,0.263,0,0,0
"358",0,0.2727,0,0,0,0.305,1e-04,0,0
"359",0,0.1465,0,0,0,0.1559,0,0,0
"360",0,0.1349,0,0,0,0.1522,0,0,0
"361",1e-04,0.2539,1e-04,1e-04,1e-04,0.2626,2e-04,1e-04,2e-04
"362",0,0.1263,0,0,0,0.1436,0,0,0
"363",0,0.1164,0,0,0,0.1267,0,0,0
"364",9e-04,0.022,9e-04,0.001,0.0015,0.0349,0.0017,0.0015,0.0015
"365",0,0.1081,0,0,1e-04,0.1112,1e-04,1e-04,1e-04
"366",0,0.133,0,0,0,0.1405,0,0,0
"367",0.0042,0.2984,0.0042,0.0041,0.0062,0.3761,0.0068,0.0062,0.0065
"368",0,0.1509,0,0,0,0.1567,0,0,0
"369",0,0.3098,0,0,0,0.3186,0,0,0
"370",0.0031,0.2158,0.0031,0.0027,0.0049,0.2417,0.0049,0.0049,0.0051
"371",0,0.3448,0,0,0,0.3488,0,0,0
"372",0,0.1056,0,0,0,0.1108,0,0,0
"373",0.0047,0.2537,0.0047,0.0049,0.007,0.2594,0.0075,0.007,0.0072
"374",0,0.1441,0,0,0,0.169,0,0,0
"375",0,0.1342,0,0,0,0.1477,0,0,0
"376",4e-04,0.2123,4e-04,4e-04,7e-04,0.2669,6e-04,7e-04,8e-04
"377",2e-04,0.2624,2e-04,3e-04,5e-04,0.2685,5e-04,5e-04,5e-04
"378",0,0.1997,0,0,0,0.2085,0,0,0
"379",0,0.0779,0,0,0,0.0918,0,0,0
"380",0,0.2873,0,0,0,0.2906,0,0,0
"381",0,0.4166,0,0,0,0.4649,0,0,0
"382",1e-04,0.193,1e-04,1e-04,2e-04,0.1979,3e-04,2e-04,2e-04
"383",2e-04,0.2125,2e-04,2e-04,4e-04,0.271,5e-04,4e-04,4e-04
"384",0,0.0525,0,0,0,0.0585,0,0,0
"385",0,0.0226,0,0,0,0.0359,1e-04,0,0
"386",0,0.3921,0,0,1e-04,0.4094,1e-04,1e-04,1e-04
"387",0,0.2998,0,0,0,0.3125,0,0,0
"388",0,0.0161,0,0,0,0.0287,0,0,0
"389",0,0.0402,0,0,0,0.052,0,0,0
"390",0,0.2241,0,0,0,0.275,0,0,0
"391",0,0.1967,0,0,1e-04,0.2401,1e-04,1e-04,1e-04
"392",2e-04,0.1674,2e-04,1e-04,3e-04,0.2076,6e-04,3e-04,4e-04
"393",1e-04,0.3219,1e-04,1e-04,3e-04,0.3674,5e-04,3e-04,3e-04
"394",0,0.6186,0,0,1e-04,0.6223,1e-04,1e-04,1e-04
"395",0,0.0264,0,0,0,0.0313,0,0,0
"396",0,0.0046,0,0,0,0.0072,0,0,0
"397",0,0.1787,0,0,0,0.1856,0,0,0
"398",0.0012,0.1519,0.0012,9e-04,0.002,0.2275,0.0023,0.002,0.0021
"399",0,0.0557,0,0,0,0.0604,0,0,0
"400",0,0.0325,0,0,0,0.0495,0,0,0
"401",0.001,0.5144,0.001,9e-04,0.0013,0.5169,0.0016,0.0013,0.0013
